PhotoNumber,CircleNumber,X,Y
1,2,0.0448,0.4757
1,3,0.9559,0.9357
1,6,0.5089,0.6556
2,6,0.602,0.5698
2,7,0.4357,0.7721
2,5,0.2523,0.409
3,8,0.6192,0.9509
3,6,0.3794,0.6019
3,4,0.9371,0.4899
4,9,0.3751,0.4593
4,10,0.7479,0.3145
4,11,0.5931,0.7442
5,2,0.9755,0.7369
5,4,0.0303,0.7283
5,15,0.5339,0.6739
6,13,0.8739,0.945
6,8,0.663,0.4935
6,12,0.0303,0.04
7,16,0.1213,0.7379
7,13,0.8288,0.869
7,2,0.0366,0.5282
8,4,0.9697,0.7116
8,13,0.4182,0.8705
8,7,0.2603,0.7385
9,4,0.9392,0.4604
10,2,0.9456,0.5062
11,4,0.0303,0.2819
11,17,0.5063,0.8059
12,6,0.2706,0.6542
12,8,0.9611,0.9509
12,7,0.0303,0.717
13,6,0.449,0.2802
13,14,0.7205,0.7954
13,7,0.1086,0.4639
14,6,0.0303,0.0402
14,18,0.4697,0.2877
14,19,0.5642,0.8053
15,5,0.0303,0.8882
16,7,0.9283,0.9604
17,11,0.0303,0.9555
18,14,0.9353,0.7995
18,15,0.0571,0.7821
18,6,0.9429,0.0396
19,14,0.5888,0.8728
19,20,0.2651,0.8661
19,22,0.4176,0.4146
20,14,0.5417,0.8113
20,21,0.966,0.6836
20,22,0.5616,0.0472
21,22,0.9461,0.5473
21,23,0.7324,0.1007
21,19,0.5798,0.9604
22,24,0.422,0.1339
22,21,0.3183,0.7761
22,25,0.9201,0.6416
23,21,0.5,0.9604
24,22,0.5117,0.9604
25,26,0.3057,0.4915
25,22,0.9697,0.042
26,25,0.5146,0.6552
