SlideNumber,PhotoNumber,CircleNumber,X,Y
1,1,2,0.5597,0.7997
1,1,3,0.0436,0.8241
1,1,4,0.9697,0.4107
2,2,1,0.0337,0.2344
2,2,3,0.0337,0.7656
2,2,10,0.5,0.7793
3,3,2,0.8808,0.6741
3,3,6,0.4565,0.9604
4,4,1,0.4697,0.4142
4,4,5,0.3644,0.6473
4,4,7,0.698,0.8697
5,5,10,0.3164,0.8335
5,5,4,0.9697,0.5
5,5,9,0.7145,0.7443
6,6,3,0.6702,0.7146
7,7,5,0.2431,0.7569
7,7,8,0.9201,0.8085
7,7,19,0.6681,0.8085
8,8,7,0.0418,0.6864
8,8,19,0.1038,0.9229
9,9,7,0.4939,0.9604
10,10,2,0.9461,0.9604
10,10,11,0.5389,0.726
11,11,12,0.1208,0.6569
11,11,13,0.7438,0.8689
11,11,15,0.4139,0.1764
12,12,13,0.9697,0.9552
12,12,17,0.0303,0.9552
12,12,21,0.0303,0.0448
13,13,12,0.9697,0.9554
13,13,14,0.9697,0.2506
14,14,12,0.0606,0.9604
15,15,16,0.0303,0.5514
16,16,15,0.9697,0.9554
16,16,26,0.0303,0.9554
17,17,12,0.4093,0.618
17,17,18,0.8124,0.618
18,18,12,0.6234,0.482
18,18,17,0.0535,0.6515
19,19,21,0.0303,0.0446
19,19,7,0.6382,0.4636
19,19,20,0.4308,0.3682
20,20,19,0.0303,0.6503
21,21,22,0.4766,0.5601
22,22,21,0.9697,0.9476
23,23,16,0.9697,0.9554
